mileage_m,normal_force_N,penetration_m,rail_irregularity_m,iterations
4.274999999999988254e-01,7.113284179768571630e+04,4.043040305562076397e-05,0.000000000000000000e+00,1.400000000000000000e+01
4.299999999999987721e-01,7.235908965473959688e+04,4.089372708138676603e-05,0.000000000000000000e+00,1.300000000000000000e+01
4.324999999999987743e-01,7.349593200569416513e+04,4.132093743940712404e-05,0.000000000000000000e+00,1.300000000000000000e+01
4.349999999999987765e-01,7.450355226330104051e+04,4.169774969380448342e-05,0.000000000000000000e+00,1.200000000000000000e+01
4.374999999999987232e-01,7.534637484218562895e+04,4.201163070146669452e-05,0.000000000000000000e+00,1.200000000000000000e+01
4.399999999999987255e-01,7.599458725043735467e+04,4.225224003545517069e-05,0.000000000000000000e+00,1.100000000000000000e+01
4.424999999999987277e-01,7.642545357706962386e+04,4.241179444978119298e-05,0.000000000000000000e+00,1.100000000000000000e+01
4.449999999999986744e-01,7.662433170166258060e+04,4.248533996581341216e-05,0.000000000000000000e+00,1.000000000000000000e+01
4.474999999999986766e-01,7.658532071485351480e+04,4.247091864848052614e-05,0.000000000000000000e+00,8.000000000000000000e+00
4.499999999999986788e-01,7.631149622715129226e+04,4.236962405253636544e-05,0.000000000000000000e+00,1.000000000000000000e+01
4.524999999999986255e-01,7.581471466709296510e+04,4.218554212008840724e-05,0.000000000000000000e+00,1.100000000000000000e+01
4.549999999999986278e-01,7.511500157370806846e+04,4.192558055410330171e-05,0.000000000000000000e+00,1.200000000000000000e+01
4.574999999999986300e-01,7.423956973272490723e+04,4.159919521573383618e-05,0.000000000000000000e+00,1.200000000000000000e+01
4.599999999999986322e-01,7.322153899645869387e+04,4.121802704362542019e-05,0.000000000000000000e+00,1.300000000000000000e+01
4.624999999999985789e-01,7.209844502753351117e+04,4.079546585362702106e-05,0.000000000000000000e+00,1.300000000000000000e+01
4.649999999999985811e-01,7.091063433596650430e+04,4.034616047594626195e-05,0.000000000000000000e+00,1.400000000000000000e+01
4.674999999999985834e-01,6.969964143060173956e+04,3.988549570349812795e-05,0.000000000000000000e+00,1.400000000000000000e+01
4.699999999999985301e-01,6.850663521746970946e+04,3.942905690753041673e-05,0.000000000000000000e+00,1.400000000000000000e+01
4.724999999999985323e-01,6.737100512544361118e+04,3.899210211081512606e-05,0.000000000000000000e+00,1.300000000000000000e+01
4.749999999999985345e-01,6.632913672054496419e+04,3.858905955599647953e-05,0.000000000000000000e+00,1.200000000000000000e+01
4.774999999999984812e-01,6.541340436114268959e+04,3.823306654290571866e-05,0.000000000000000000e+00,1.200000000000000000e+01
4.799999999999984834e-01,6.465138563937079743e+04,3.793556204562287422e-05,0.000000000000000000e+00,1.200000000000000000e+01
4.824999999999984857e-01,6.406528488737058069e+04,3.770594292435652079e-05,0.000000000000000000e+00,1.100000000000000000e+01
4.849999999999984324e-01,6.367154239204782061e+04,3.755129150005314032e-05,0.000000000000000000e+00,1.100000000000000000e+01
4.874999999999984346e-01,6.348059740801828593e+04,3.747617872512986817e-05,0.000000000000000000e+00,1.000000000000000000e+01
4.899999999999984368e-01,6.349677753079737158e+04,3.748254648096789089e-05,0.000000000000000000e+00,7.000000000000000000e+00
4.924999999999983835e-01,6.371828794812166598e+04,3.756966853547712555e-05,0.000000000000000000e+00,1.000000000000000000e+01
4.949999999999983857e-01,6.413729214705491177e+04,3.773419112220050551e-05,0.000000000000000000e+00,1.100000000000000000e+01
4.974999999999983880e-01,6.474008485257124994e+04,3.797025153740294409e-05,0.000000000000000000e+00,1.200000000000000000e+01
4.999999999999983347e-01,6.550736936253671593e+04,3.826967178843062505e-05,0.000000000000000000e+00,1.200000000000000000e+01
